cohort,variable,level,exposure,n,unweighted_value,weighted_value,crude_smd,weighted_smd
CRC,age,mean (SD),Local procedure,15545,64.28 (12.53),63.89,0.0427471580427354,1.97546668392439e-13
CRC,age,mean (SD),Oncologic resection,38490,64.80 (12.00),63.89,0.0427471580427354,1.97546668392439e-13
CRC,year,mean (SD),Local procedure,15545,2013.22 (5.53),2012.99,0.104221698482152,0
CRC,year,mean (SD),Oncologic resection,38490,2012.65 (5.46),2012.99,0.104221698482152,0
CRC,sex,Female,Local procedure,6522,6522 (42.0%),43.2%,0.106686232017057,6.19782126595329e-14
CRC,sex,Female,Oncologic resection,18187,18187 (47.3%),43.2%,0.106686232017057,6.19782126595329e-14
CRC,sex,Male,Local procedure,9023,9023 (58.0%),56.8%,0.106686232017057,6.23144416613025e-14
CRC,sex,Male,Oncologic resection,20303,20303 (52.7%),56.8%,0.106686232017057,6.23144416613025e-14
CRC,race,American Indian/Alaska Native,Local procedure,148,148 (1.0%),0.9%,0.0201145762359657,5.73695989557624e-15
CRC,race,American Indian/Alaska Native,Oncologic resection,295,295 (0.8%),0.9%,0.0201145762359657,5.73695989557624e-15
CRC,race,Asian or Pacific Islander,Local procedure,1686,1686 (10.8%),10.7%,0.0544772457656835,9.7462868883817e-14
CRC,race,Asian or Pacific Islander,Oncologic resection,3545,3545 (9.2%),10.7%,0.0544772457656835,9.7462868883817e-14
CRC,race,Black,Local procedure,1508,1508 (9.7%),9.8%,0.0251270408555477,1.00441302906281e-13
CRC,race,Black,Oncologic resection,4025,4025 (10.5%),9.8%,0.0251270408555477,1.00441302906281e-13
CRC,race,Unknown,Local procedure,407,407 (2.6%),1.3%,0.155761094314087,4.46276922802648e-14
CRC,race,Unknown,Oncologic resection,250,250 (0.6%),1.3%,0.155761094314087,4.46276922802648e-14
CRC,race,White,Local procedure,11796,11796 (75.9%),77.3%,0.0725820805825289,1.08661489506582e-14
CRC,race,White,Oncologic resection,30375,30375 (78.9%),77.3%,0.0725820805825289,1.08661489506582e-14
CRC,marital,Married,Local procedure,7964,7964 (51.2%),56.1%,0.180377351230489,1.29755113093594e-14
CRC,marital,Married,Oncologic resection,23154,23154 (60.2%),56.1%,0.180377351230489,1.29755113093594e-14
CRC,marital,Never married,Local procedure,2232,2232 (14.4%),14.7%,0.0232070256057742,6.97265687624961e-15
CRC,marital,Never married,Oncologic resection,5217,5217 (13.6%),14.7%,0.0232070256057742,6.97265687624961e-15
CRC,marital,Divorced/separated,Local procedure,1426,1426 (9.2%),9.5%,0.0182319736952678,1.48347622233592e-14
CRC,marital,Divorced/separated,Oncologic resection,3736,3736 (9.7%),9.5%,0.0182319736952678,1.48347622233592e-14
CRC,marital,Widowed,Local procedure,1663,1663 (10.7%),10.6%,0.0283510275674273,7.86606942831949e-14
CRC,marital,Widowed,Oncologic resection,4461,4461 (11.6%),10.6%,0.0283510275674273,7.86606942831949e-14
CRC,marital,Unknown,Local procedure,2260,2260 (14.5%),9.1%,0.32577385763434,8.57160851947554e-14
CRC,marital,Unknown,Oncologic resection,1922,1922 (5.0%),9.1%,0.32577385763434,8.57160851947554e-14
CRC,sitegrp,Proximal colon,Local procedure,1686,1686 (10.8%),15.7%,0.746009127734071,1.05423044732816e-12
CRC,sitegrp,Proximal colon,Oncologic resection,16007,16007 (41.6%),15.7%,0.746009127734071,1.05423044732816e-12
CRC,sitegrp,Distal colon,Local procedure,6715,6715 (43.2%),46.0%,0.117764021136173,4.632553742522e-13
CRC,sitegrp,Distal colon,Oncologic resection,14407,14407 (37.4%),46.0%,0.117764021136173,4.632553742522e-13
CRC,sitegrp,Rectum/rectosigmoid,Local procedure,7144,7144 (46.0%),38.3%,0.548823499309036,3.1481649965505e-13
CRC,sitegrp,Rectum/rectosigmoid,Oncologic resection,8076,8076 (21.0%),38.3%,0.548823499309036,3.1481649965505e-13
CRC,sizegrp,<=20 mm,Local procedure,6059,6059 (39.0%),42.9%,0.165144260835875,2.92881609668104e-13
CRC,sizegrp,<=20 mm,Oncologic resection,18139,18139 (47.1%),42.9%,0.165144260835875,2.92881609668104e-13
CRC,sizegrp,21-50 mm,Local procedure,1221,1221 (7.9%),10.5%,0.365217682551402,4.28632119285128e-14
CRC,sizegrp,21-50 mm,Oncologic resection,7837,7837 (20.4%),10.5%,0.365217682551402,4.28632119285128e-14
