scenario_id,family,anchor,se,sp,uhr,eff,n,eta_c0,eta_o0,planned_reps,master_seed,scenario_seed
1,main_hi,,1.0,1.0,1.0,1.0,5000,-0.8,-0.5,5000,20260817,1269503018
2,main_hi,,1.0,1.0,1.0,1.0,50000,-0.8,-0.5,5000,20260817,3405241100
3,main_hi,,1.0,1.0,1.0,0.85,5000,-0.8,-0.5,5000,20260817,1705465395
4,main_hi,,1.0,1.0,1.0,0.85,50000,-0.8,-0.5,5000,20260817,1479637334
5,main_hi,,1.0,1.0,0.5,1.0,5000,-0.8,-0.5,5000,20260817,2852892794
6,main_hi,,1.0,1.0,0.5,1.0,50000,-0.8,-0.5,5000,20260817,128509959
7,main_hi,,1.0,1.0,0.5,0.85,5000,-0.8,-0.5,5000,20260817,4190124856
8,main_hi,,1.0,1.0,0.5,0.85,50000,-0.8,-0.5,5000,20260817,1363535968
9,main_hi,,1.0,1.0,0.33,1.0,5000,-0.8,-0.5,5000,20260817,2605238670
10,main_hi,,1.0,1.0,0.33,1.0,50000,-0.8,-0.5,5000,20260817,956976107
11,main_hi,,1.0,1.0,0.33,0.85,5000,-0.8,-0.5,5000,20260817,1710890882
12,main_hi,,1.0,1.0,0.33,0.85,50000,-0.8,-0.5,5000,20260817,1319130456
13,main_hi,,0.9,0.9,1.0,1.0,5000,-0.8,-0.5,5000,20260817,972130327
14,main_hi,,0.9,0.9,1.0,1.0,50000,-0.8,-0.5,5000,20260817,300294571
15,main_hi,,0.9,0.9,1.0,0.85,5000,-0.8,-0.5,5000,20260817,184379484
16,main_hi,,0.9,0.9,1.0,0.85,50000,-0.8,-0.5,5000,20260817,2636532921
17,main_hi,,0.9,0.9,0.5,1.0,5000,-0.8,-0.5,5000,20260817,2612745165
18,main_hi,,0.9,0.9,0.5,1.0,50000,-0.8,-0.5,5000,20260817,3692586629
19,main_hi,,0.9,0.9,0.5,0.85,5000,-0.8,-0.5,5000,20260817,2268338296
20,main_hi,,0.9,0.9,0.5,0.85,50000,-0.8,-0.5,5000,20260817,3352976826
21,main_hi,,0.9,0.9,0.33,1.0,5000,-0.8,-0.5,5000,20260817,666658930
22,main_hi,,0.9,0.9,0.33,1.0,50000,-0.8,-0.5,5000,20260817,2744545753
23,main_hi,,0.9,0.9,0.33,0.85,5000,-0.8,-0.5,5000,20260817,1390767563
24,main_hi,,0.9,0.9,0.33,0.85,50000,-0.8,-0.5,5000,20260817,1851916202
25,main_hi,,0.75,0.85,1.0,1.0,5000,-0.8,-0.5,5000,20260817,2088437592
26,main_hi,,0.75,0.85,1.0,1.0,50000,-0.8,-0.5,5000,20260817,770843387
27,main_hi,,0.75,0.85,1.0,0.85,5000,-0.8,-0.5,5000,20260817,730609205
28,main_hi,,0.75,0.85,1.0,0.85,50000,-0.8,-0.5,5000,20260817,3314776866
29,main_hi,,0.75,0.85,0.5,1.0,5000,-0.8,-0.5,5000,20260817,2284446999
30,main_hi,,0.75,0.85,0.5,1.0,50000,-0.8,-0.5,5000,20260817,4164126655
31,main_hi,,0.75,0.85,0.5,0.85,5000,-0.8,-0.5,5000,20260817,3042424778
32,main_hi,,0.75,0.85,0.5,0.85,50000,-0.8,-0.5,5000,20260817,2356173794
33,main_hi,,0.75,0.85,0.33,1.0,5000,-0.8,-0.5,5000,20260817,1778130748
34,main_hi,,0.75,0.85,0.33,1.0,50000,-0.8,-0.5,5000,20260817,2069790541
35,main_hi,,0.75,0.85,0.33,0.85,5000,-0.8,-0.5,5000,20260817,3567053798
