scenario_id,family,anchor,se,sp,uhr,eff,n,eta_c0,eta_o0,planned_reps,master_seed,scenario_seed,median_HR_c,median_HR_naive,median_HR_o,bias_logHR_c,median_HR_percent_error_c,empirical_SE,avg_robust_SE,avg_model_SE,rmse_c,coverage_c,coverage_naive,median_interval_width_log,directional_signal_rate,median_cross_ratio,mcse_bias,mcse_coverage,mcse_signal,successful,failed,failure_rate,convergence_warnings,max_abs_score_residual_sum,computational_time_s,cache_status
1,main_hi,,1.0,1.0,1.0,1.0,5000,-0.8,-0.5,5000,20260817,1269503018,0.9994560202656726,0.9997411817265192,1.0008532046444434,-5.408446005615128e-05,-0.05439797343274044,0.039503215154732096,0.03978339985937477,0.056306331798549346,0.03949930166329986,0.9514,0.9536,0.15593467428988217,0.021,0.9982757377843476,0.0005586598262916451,0.003040987997345599,0.002027757381937001,5000,0,0.0,0,3.620570510065591e-11,0.0,reused complete strict rerun
2,main_hi,,1.0,1.0,1.0,1.0,50000,-0.8,-0.5,5000,20260817,3405241100,1.000450083766688,1.0003194726933926,0.9999475021178443,0.00014687521263477365,0.04500837666880919,0.012370857278436072,0.012577836765947956,0.017789912966903233,0.012370492088415907,0.9526,0.9522,0.049303593915431716,0.0276,1.0003168585636102,0.0001749503414134621,0.0030051036587778464,0.0023168185082133646,5000,0,0.0,0,3.11519343654254e-09,0.0,reused complete strict rerun
3,main_hi,,1.0,1.0,1.0,0.85,5000,-0.8,-0.5,5000,20260817,1705465395,0.8498846030881858,0.8499860723483408,1.0007524773845704,-0.0001933752855909202,-0.013576107272255241,0.0403694079796952,0.040728368123716205,0.05750694246527696,0.04036583402844576,0.9526,0.9506,0.15963021286350598,0.0224,0.849565397956035,0.000570909642698576,0.0030051036587778464,0.002092760855903034,5000,0,0.0,0,3.381472879482317e-11,0.0,reused complete strict rerun
4,main_hi,,1.0,1.0,1.0,0.85,50000,-0.8,-0.5,5000,20260817,1479637334,0.8499989417697341,0.8501238440814567,1.000040047572843,4.049435193886717e-05,-0.0001244976783364895,0.012937947189607894,0.012872862543782719,0.018166060273833235,0.012936716707809812,0.9486,0.9496,0.05046217752619083,0.0274,0.8498490241457678,0.0001829702038481035,0.0031227564746550444,0.002308646356634121,5000,0,0.0,0,3.2691289675312873e-09,0.0,reused complete strict rerun
5,main_hi,,1.0,1.0,0.5,1.0,5000,-0.8,-0.5,5000,20260817,2852892794,0.8901681220840405,0.8943695847437441,0.8901452569905344,-0.11588007859410368,-10.983187791595949,0.041032756420942,0.04024883015810449,0.05692627430738686,0.12292901600946826,0.1824,0.1958,0.15774566800389042,0.7066,1.000942825646188,0.0005802908063204787,0.0054613229166567325,0.006439199329109171,5000,0,0.0,0,3.707789630880143e-11,0.0,reused complete strict rerun
6,main_hi,,1.0,1.0,0.5,1.0,50000,-0.8,-0.5,5000,20260817,128509959,0.8905841130470635,0.8940972240517189,0.8901193312378111,-0.11572395551126842,-10.941588695293646,0.012734354558620828,0.012722607508622124,0.017983519320499592,0.11642235709880425,0.0,0.0,0.04987061010151035,1.0,1.0004572443972615,0.00018009096924869223,0.0,0.0,5000,0,0.0,0,3.342449872434372e-09,0.0,reused complete strict rerun
7,main_hi,,1.0,1.0,0.5,0.85,5000,-0.8,-0.5,5000,20260817,4190124856,0.7626768950689065,0.7655325824679811,0.8969550059293496,-0.10841252363920974,-10.27330646248159,0.04103912814295242,0.04128508375285535,0.0582485363385661,0.11591871496246035,0.2452,0.2682,0.1618105122742603,0.6624,0.8513150572783265,0.0005803809160773068,0.006084027613349565,0.006687693772893613,5000,0,0.0,0,3.11857206725108e-11,0.0,reused complete strict rerun
8,main_hi,,1.0,1.0,0.5,0.85,50000,-0.8,-0.5,5000,20260817,1363535968,0.7630906655143962,0.7661340702020769,0.8972039273145366,-0.10798297803257347,-10.224627586541622,0.012778368962722757,0.01305138740121931,0.01840308076532819,0.10873627545942546,0.0,0.0,0.051160352936681516,1.0,0.8503375806477018,0.00018071342692089942,0.0,0.0,5000,0,0.0,0,3.2411264783149822e-09,0.0,reused complete strict rerun
9,main_hi,,1.0,1.0,0.33,1.0,5000,-0.8,-0.5,5000,20260817,2605238670,0.8420887018705114,0.8472549645713873,0.8417074269306601,-0.17176360207079583,-15.791129812948856,0.04063699392606291,0.04068657428573541,0.05748779567787942,0.1765043058925943,0.0112,0.0136,0.15947695824914426,0.9494,1.0002686775033613,0.0005746938794431126,0.001488258042141886,0.0030996657884359074,5000,0,0.0,0,3.326583453144849e-11,0.0,reused complete strict rerun
10,main_hi,,1.0,1.0,0.33,1.0,50000,-0.8,-0.5,5000,20260817,956976107,0.8425307965980458,0.8475718349736457,0.8419991510600835,-0.17181525117682486,-15.746920340195425,0.013060049381836494,0.012862993405642845,0.018164696719409092,0.17231079859902415,0.0,0.0,0.05042373159543734,1.0,1.0004509716158745,0.00018469698961055524,0.0,0.0,5000,0,0.0,0,3.272020876465831e-09,0.0,reused complete strict rerun
