scenario_id,family_strict,anchor_strict,se_strict,sp_strict,uhr_strict,eff_strict,n_strict,eta_c0_strict,eta_o0_strict,planned_reps_strict,master_seed_strict,scenario_seed_strict,median_HR_c_strict,median_HR_naive_strict,median_HR_o_strict,bias_logHR_c_strict,median_HR_percent_error_c_strict,empirical_SE_strict,avg_robust_SE,avg_model_SE_strict,rmse_c_strict,coverage_c_strict,coverage_naive_strict,median_interval_width_log_strict,directional_signal_rate_strict,median_cross_ratio_strict,mcse_bias_strict,mcse_coverage_strict,mcse_signal_strict,successful_strict,failed_strict,failure_rate_strict,convergence_warnings_strict,max_abs_score_residual_sum,computational_time_s,cache_status,family_v2,module,anchor_v2,se_v2,sp_v2,uhr_v2,eff_v2,n_v2,eta_c0_v2,eta_o0_v2,estimand,method,planned_reps_v2,master_seed_v2,scenario_seed_v2,median_HR_c_v2,median_HR_naive_v2,median_HR_o_v2,bias_logHR_c_v2,median_HR_percent_error_c_v2,empirical_SE_v2,avg_model_SE_v2,rmse_c_v2,coverage_c_v2,coverage_naive_v2,median_interval_width_log_v2,directional_signal_rate_v2,median_cross_ratio_v2,mcse_bias_v2,mcse_coverage_v2,mcse_signal_v2,successful_v2,failed_v2,failure_rate_v2,convergence_warnings_v2,delta_median_HR_c,delta_bias_logHR_c,delta_coverage_c,delta_directional_signal_rate,delta_avg_model_SE
1,main_hi,,1.0,1.0,1.0,1.0,5000,-0.8,-0.5,5000,20260817,1269503018,0.9994560202656726,0.9997411817265192,1.0008532046444434,-5.408446005615128e-05,-0.05439797343274044,0.039503215154732096,0.03978339985937477,0.056306331798549346,0.03949930166329986,0.9514,0.9536,0.15593467428988217,0.021,0.9982757377843476,0.0005586598262916451,0.003040987997345599,0.002027757381937001,5000,0,0.0,0,3.620570510065591e-11,0.0,reused complete strict rerun,main_hi,primary,,1.0,1.0,1.0,1.0,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,1269503018,0.999456020265673,0.9997411817265136,1.0008532046444425,-5.408446005616709e-05,-0.054397973432696,0.0395032151547321,0.0398028195355826,0.0394993016632998,0.9512,0.9536,0.1559813499826967,0.0208,0.9982757377843472,0.0005586598262916,0.00304691844328,0.0020182844199963,5000,0,0.0,0,-4.440892098500626e-16,1.580902292755426e-17,0.00019999999999997797,0.00020000000000000226,0.016503512262966744
2,main_hi,,1.0,1.0,1.0,1.0,50000,-0.8,-0.5,5000,20260817,3405241100,1.000450083766688,1.0003194726933926,0.9999475021178443,0.00014687521263477365,0.04500837666880919,0.012370857278436072,0.012577836765947956,0.017789912966903233,0.012370492088415907,0.9526,0.9522,0.049303593915431716,0.0276,1.0003168585636102,0.0001749503414134621,0.0030051036587778464,0.0023168185082133646,5000,0,0.0,0,3.11519343654254e-09,0.0,reused complete strict rerun,main_hi,primary,,1.0,1.0,1.0,1.0,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,3405241100,1.0004500837666788,1.0003194726932487,0.9999475021178444,0.0001468752126347,0.0450083766678766,0.0123708572784361,0.0125789830985552,0.0123704920884159,0.9528,0.9522,0.0493073966457598,0.0276,1.000316858563595,0.0001749503414134,0.0029990718564249,0.0023168185082133,5000,0,0.0,0,9.325873406851315e-15,7.364443256607789e-17,-0.00019999999999997797,0.0,0.005210929868348032
3,main_hi,,1.0,1.0,1.0,0.85,5000,-0.8,-0.5,5000,20260817,1705465395,0.8498846030881858,0.8499860723483408,1.0007524773845704,-0.0001933752855909202,-0.013576107272255241,0.0403694079796952,0.040728368123716205,0.05750694246527696,0.04036583402844576,0.9526,0.9506,0.15963021286350598,0.0224,0.849565397956035,0.000570909642698576,0.0030051036587778464,0.002092760855903034,5000,0,0.0,0,3.381472879482317e-11,0.0,reused complete strict rerun,main_hi,primary,,1.0,1.0,1.0,0.85,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,1705465395,0.8498846030881859,0.8499860723483408,1.0007524773845706,-0.0001933752855909,-0.0135761072722421,0.0403694079796952,0.0407458670073305,0.0403658340284457,0.9528,0.9508,0.1596936655159583,0.0224,0.8495653979560349,0.0005709096426985,0.0029990718564249,0.002092760855903,5000,0,0.0,0,-1.1102230246251565e-16,-2.019326546254252e-17,-0.00019999999999997797,0.0,0.01676107545794646
4,main_hi,,1.0,1.0,1.0,0.85,50000,-0.8,-0.5,5000,20260817,1479637334,0.8499989417697341,0.8501238440814567,1.000040047572843,4.049435193886717e-05,-0.0001244976783364895,0.012937947189607894,0.012872862543782719,0.018166060273833235,0.012936716707809812,0.9486,0.9496,0.05046217752619083,0.0274,0.8498490241457678,0.0001829702038481035,0.0031227564746550444,0.002308646356634121,5000,0,0.0,0,3.2691289675312873e-09,0.0,reused complete strict rerun,main_hi,primary,,1.0,1.0,1.0,0.85,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,1479637334,0.8499989417697298,0.8501238440814567,1.000040047572843,4.049435193855475e-05,-0.0001244976788458,0.0129379471896079,0.0128739593573135,0.0129367167078098,0.9486,0.9498,0.050464833496884,0.0274,0.849849024145769,0.0001829702038481,0.003122756474655,0.0023086463566341,5000,0,0.0,0,4.3298697960381105e-15,3.1241963226527614e-16,0.0,0.0,0.005292100916519734
5,main_hi,,1.0,1.0,0.5,1.0,5000,-0.8,-0.5,5000,20260817,2852892794,0.8901681220840405,0.8943695847437441,0.8901452569905344,-0.11588007859410368,-10.983187791595949,0.041032756420942,0.04024883015810449,0.05692627430738686,0.12292901600946826,0.1824,0.1958,0.15774566800389042,0.7066,1.000942825646188,0.0005802908063204787,0.0054613229166567325,0.006439199329109171,5000,0,0.0,0,3.707789630880143e-11,0.0,reused complete strict rerun,main_hi,primary,,1.0,1.0,0.5,1.0,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,2852892794,0.8901681220840421,0.8943695847437452,0.8901452569905337,-0.1158800785941036,-10.983187791595794,0.041032756420942,0.0402572683689564,0.1229290160094682,0.1818,0.1956,0.1577760402952131,0.7056,1.0009428256461863,0.0005802908063204,0.0054543333231477,0.0064455975673322,5000,0,0.0,0,-1.5543122344752192e-15,-8.326672684688674e-17,0.0006000000000000172,0.0010000000000000009,0.01666900593843046
6,main_hi,,1.0,1.0,0.5,1.0,50000,-0.8,-0.5,5000,20260817,128509959,0.8905841130470635,0.8940972240517189,0.8901193312378111,-0.11572395551126842,-10.941588695293646,0.012734354558620828,0.012722607508622124,0.017983519320499592,0.11642235709880425,0.0,0.0,0.04987061010151035,1.0,1.0004572443972615,0.00018009096924869223,0.0,0.0,5000,0,0.0,0,3.342449872434372e-09,0.0,reused complete strict rerun,main_hi,primary,,1.0,1.0,0.5,1.0,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,128509959,0.8905841130470648,0.8940972240520919,0.8901193312378105,-0.1157239555112684,-10.941588695293524,0.0127343545586207,0.0127193858551441,0.1164223570988042,0.0,0.0,0.0498600847506365,1.0,1.0004572443972637,0.0001800909692486,0.0,0.0,5000,0,0.0,0,-1.2212453270876722e-15,-1.3877787807814457e-17,0.0,0.0,0.005264133465355493
7,main_hi,,1.0,1.0,0.5,0.85,5000,-0.8,-0.5,5000,20260817,4190124856,0.7626768950689065,0.7655325824679811,0.8969550059293496,-0.10841252363920974,-10.27330646248159,0.04103912814295242,0.04128508375285535,0.0582485363385661,0.11591871496246035,0.2452,0.2682,0.1618105122742603,0.6624,0.8513150572783265,0.0005803809160773068,0.006084027613349565,0.006687693772893613,5000,0,0.0,0,3.11857206725108e-11,0.0,reused complete strict rerun,main_hi,primary,,1.0,1.0,0.5,0.85,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,4190124856,0.7626768950689076,0.7655325824679811,0.8969550059293491,-0.1084125236392097,-10.27330646248146,0.0410391281429523,0.0412745956624142,0.1159187149624603,0.2454,0.2678,0.1617651975470245,0.6618,0.8513150572783311,0.0005803809160773,0.0060857019315769,0.0066906017666574,5000,0,0.0,0,-1.1102230246251565e-15,-4.163336342344337e-17,-0.00020000000000000573,0.0005999999999999339,0.016973940676151905
8,main_hi,,1.0,1.0,0.5,0.85,50000,-0.8,-0.5,5000,20260817,1363535968,0.7630906655143962,0.7661340702020769,0.8972039273145366,-0.10798297803257347,-10.224627586541622,0.012778368962722757,0.01305138740121931,0.01840308076532819,0.10873627545942546,0.0,0.0,0.051160352936681516,1.0,0.8503375806477018,0.00018071342692089942,0.0,0.0,5000,0,0.0,0,3.2411264783149822e-09,0.0,reused complete strict rerun,main_hi,primary,,1.0,1.0,0.5,0.85,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,1363535968,0.7630906655144019,0.7661340702020769,0.8972039273145338,-0.1079829780325734,-10.224627586540956,0.0127783689627226,0.0130423909121767,0.1087362754594254,0.0,0.0,0.051124121451847,1.0,0.8503375806477091,0.0001807134269208,0.0,0.0,5000,0,0.0,0,-5.662137425588298e-15,-6.938893903907228e-17,0.0,0.0,0.005360689853151489
9,main_hi,,1.0,1.0,0.33,1.0,5000,-0.8,-0.5,5000,20260817,2605238670,0.8420887018705114,0.8472549645713873,0.8417074269306601,-0.17176360207079583,-15.791129812948856,0.04063699392606291,0.04068657428573541,0.05748779567787942,0.1765043058925943,0.0112,0.0136,0.15947695824914426,0.9494,1.0002686775033613,0.0005746938794431126,0.001488258042141886,0.0030996657884359074,5000,0,0.0,0,3.326583453144849e-11,0.0,reused complete strict rerun,main_hi,primary,,1.0,1.0,0.33,1.0,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,2605238670,0.8420887018705123,0.8472549645713681,0.8417074269306606,-0.1717636020707958,-15.791129812948768,0.0406369939260629,0.0406488027339401,0.1765043058925943,0.0112,0.0132,0.1593155469824096,0.9498,1.0002686775033625,0.0005746938794431,0.0014882580421418,0.0030880401551793,5000,0,0.0,0,-8.881784197001252e-16,-2.7755575615628914e-17,0.0,-0.00039999999999995595,0.01683899294393932
10,main_hi,,1.0,1.0,0.33,1.0,50000,-0.8,-0.5,5000,20260817,956976107,0.8425307965980458,0.8475718349736457,0.8419991510600835,-0.17181525117682486,-15.746920340195425,0.013060049381836494,0.012862993405642845,0.018164696719409092,0.17231079859902415,0.0,0.0,0.05042373159543734,1.0,1.0004509716158745,0.00018469698961055524,0.0,0.0,5000,0,0.0,0,3.272020876465831e-09,0.0,reused complete strict rerun,main_hi,primary,,1.0,1.0,0.33,1.0,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,956976107,0.8425307965980497,0.8475718349737346,0.8419991510600932,-0.1718152511768247,-15.746920340195024,0.0130600493818364,0.0128467104406636,0.172310798599024,0.0,0.0,0.0503581025132395,1.0,1.000450971615877,0.0001846969896105,0.0,0.0,5000,0,0.0,0,-3.9968028886505635e-15,-1.6653345369377348e-16,0.0,0.0,0.005317986278745492
