rep,sensitivity,specificity,uhr,bias_loghr,n_cancer,n_other,uhr_draw_method,status,failure_reason
0,0.868612231856985,0.8396167802321268,0.44794954594727965,-0.02972633764899238,100242,80170,accept-reject truncated Normal,ok,
1,0.9105748359719279,0.8986063755374977,0.4033616051582019,-0.07299435991924613,100215,79299,accept-reject truncated Normal,ok,
2,0.7423163503647634,0.891828405589022,0.5216321504706116,-0.0018738641947946,101250,80254,accept-reject truncated Normal,ok,
3,0.8620721940801261,0.8977161511683855,0.3505329173165439,-0.06698353902157358,99286,79179,accept-reject truncated Normal,ok,
4,0.8433712421590294,0.8914710917332556,0.216687027831149,-0.09530488508307414,96619,76936,accept-reject truncated Normal,ok,
5,0.8388337580532251,0.9310192285919143,0.30431637180174964,-0.08305704744291639,98564,78686,accept-reject truncated Normal,ok,
6,0.9086255392437287,0.8691518538100523,0.4371627238422521,-0.05963582818149757,100431,79753,accept-reject truncated Normal,ok,
7,0.8518920358367263,0.8777255886786085,0.25593882454954775,-0.0725875622135847,98021,77248,accept-reject truncated Normal,ok,
8,0.9003356529378757,0.9145457307968189,0.32811688399689515,-0.0897615469217927,99236,78603,accept-reject truncated Normal,ok,
9,0.9155935453406463,0.9215119007351195,0.4563379477800242,-0.06962088569062694,100759,79729,accept-reject truncated Normal,ok,
10,0.7989218389895384,0.9273466508900519,0.2661727768068299,-0.09532240397882527,97928,78064,accept-reject truncated Normal,ok,
11,0.8470468291299342,0.887686174336068,0.48692324913324053,-0.037888207143238484,100926,80120,accept-reject truncated Normal,ok,
12,0.8353218116979485,0.9216536830850317,0.4366184081390913,-0.053836352694520806,100608,79786,accept-reject truncated Normal,ok,
13,0.8362018766744754,0.8680445866940675,0.34457992489010536,-0.046277803106092474,99620,78788,accept-reject truncated Normal,ok,
14,0.8481288328298072,0.9024410540169592,0.39839344847769326,-0.06326140658416632,100076,79549,accept-reject truncated Normal,ok,
15,0.8721724960600472,0.887841938086092,0.3529578155097136,-0.07726613439291558,99393,79256,accept-reject truncated Normal,ok,
16,0.7793042502291809,0.8695563415462553,0.3631562877596249,-0.0431006187151968,99999,78934,accept-reject truncated Normal,ok,
17,0.9029458012919976,0.9515935140616918,0.370035767852948,-0.09198642007639671,99763,79244,accept-reject truncated Normal,ok,
18,0.9002881501418548,0.9040541130374578,0.4044146113790137,-0.07627497087662988,100165,79584,accept-reject truncated Normal,ok,
19,0.911611154747202,0.9188998411167761,0.39358721074477065,-0.08867375848072614,99764,79293,accept-reject truncated Normal,ok,
20,0.9239160064222727,0.9505420371940873,0.3283167253709212,-0.10821247812978976,98779,79314,accept-reject truncated Normal,ok,
21,0.891788868372115,0.9063663369774073,0.30479174535891135,-0.09825261494494517,99062,77953,accept-reject truncated Normal,ok,
22,0.8728878183336738,0.8905418471562927,0.6087753875867464,-0.023914573727870425,101609,80633,accept-reject truncated Normal,ok,
23,0.8571504927032796,0.8889105428686866,0.2927224681014754,-0.07776208348150931,98276,78497,accept-reject truncated Normal,ok,
24,0.8909566473520911,0.9165058897520084,0.38722198914157185,-0.08149548043038513,100058,79383,accept-reject truncated Normal,ok,
25,0.8572763355011856,0.9150090407750407,0.5219567227929469,-0.044109135814949546,100867,80515,accept-reject truncated Normal,ok,
26,0.8552420873062135,0.9015300140077029,0.5011538598422286,-0.047884188659304716,101046,80095,accept-reject truncated Normal,ok,
27,0.7652632786182043,0.9259211068276999,0.3299643434817837,-0.06062013877285974,99255,79025,accept-reject truncated Normal,ok,
28,0.8339452056772936,0.8663286481117312,0.6022350214812057,-0.006090684435399674,101700,80554,accept-reject truncated Normal,ok,
29,0.8760398753273866,0.9233353403918486,0.578353908798218,-0.02418249857780219,101322,80430,accept-reject truncated Normal,ok,
30,0.7756222681015345,0.9269261727776235,0.37103369649893037,-0.05988408601607578,100044,79076,accept-reject truncated Normal,ok,
31,0.8540875586970627,0.8819858062184219,0.2791490868024777,-0.08777984752720494,98293,78156,accept-reject truncated Normal,ok,
32,0.8528637778927494,0.8976443707379237,0.46526603750002227,-0.041049278599339406,100595,80017,accept-reject truncated Normal,ok,
33,0.8915934355708341,0.9169234654043624,0.3842181137165499,-0.08105943417237355,99763,79406,accept-reject truncated Normal,ok,
