scenario_id,family,module,anchor,se,sp,uhr,eff,n,eta_c0,eta_o0,estimand,method,planned_reps,master_seed,scenario_seed,median_HR_c,median_HR_naive,median_HR_o,bias_logHR_c,median_HR_percent_error_c,empirical_SE,avg_model_SE,rmse_c,coverage_c,coverage_naive,median_interval_width_log,directional_signal_rate,median_cross_ratio,mcse_bias,mcse_coverage,mcse_signal,successful,failed,failure_rate,convergence_warnings
1,main_hi,primary,,1.0,1.0,1.0,1.0,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,1269503018,0.999456020265673,0.9997411817265136,1.0008532046444423,-5.408446005616709e-05,-0.054397973432696034,0.0395032151547321,0.039802819535582616,0.03949930166329987,0.9512,0.9536,0.15598134998269675,0.0208,0.9982757377843471,0.0005586598262916452,0.0030469184432800286,0.0020182844199963493,5000,0,0.0,0
2,main_hi,primary,,1.0,1.0,1.0,1.0,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,3405241100,1.0004500837666788,1.0003194726932487,0.9999475021178443,0.000146875212634733,0.045008376667876604,0.012370857278436103,0.012578983098555244,0.012370492088415938,0.9528,0.9522,0.0493073966457598,0.0276,1.0003168585635953,0.00017495034141346252,0.002999071856424918,0.0023168185082133646,5000,0,0.0,0
3,main_hi,primary,,1.0,1.0,1.0,0.85,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,1705465395,0.8498846030881859,0.8499860723483408,1.0007524773845706,-0.00019337528559091512,-0.01357610727224218,0.04036940797969521,0.04074586700733052,0.04036583402844578,0.9528,0.9508,0.15969366551595834,0.0224,0.8495653979560349,0.0005709096426985761,0.002999071856424918,0.002092760855903034,5000,0,0.0,0
4,main_hi,primary,,1.0,1.0,1.0,0.85,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,1479637334,0.8499989417697298,0.8501238440814567,1.000040047572843,4.049435193855475e-05,-0.00012449767884588591,0.01293794718960791,0.012873959357313567,0.012936716707809827,0.9486,0.9498,0.05046483349688405,0.0274,0.849849024145769,0.00018297020384810375,0.0031227564746550444,0.002308646356634121,5000,0,0.0,0
5,main_hi,primary,,1.0,1.0,0.5,1.0,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,2852892794,0.8901681220840421,0.8943695847437452,0.8901452569905337,-0.11588007859410368,-10.983187791595794,0.041032756420942035,0.040257268368956406,0.12292901600946828,0.1818,0.1956,0.15777604029521314,0.7056,1.0009428256461865,0.0005802908063204793,0.005454333323147752,0.006445597567332295,5000,0,0.0,0
6,main_hi,primary,,1.0,1.0,0.5,1.0,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,128509959,0.8905841130470648,0.8940972240520919,0.8901193312378105,-0.11572395551126846,-10.941588695293525,0.012734354558620774,0.0127193858551441,0.11642235709880426,0.0,0.0,0.0498600847506365,1.0,1.0004572443972637,0.00018009096924869147,0.0,0.0,5000,0,0.0,0
7,main_hi,primary,,1.0,1.0,0.5,0.85,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,4190124856,0.7626768950689076,0.7655325824679811,0.8969550059293491,-0.10841252363920971,-10.27330646248146,0.041039128142952366,0.04127459566241423,0.11591871496246033,0.2454,0.2678,0.1617651975470245,0.6618,0.8513150572783311,0.000580380916077306,0.006085701931576997,0.006690601766657465,5000,0,0.0,0
8,main_hi,primary,,1.0,1.0,0.5,0.85,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,1363535968,0.7630906655144019,0.7661340702020769,0.8972039273145338,-0.10798297803257347,-10.224627586540956,0.01277836896272263,0.013042390912176762,0.10873627545942542,0.0,0.0,0.05112412145184708,1.0,0.8503375806477091,0.00018071342692089763,0.0,0.0,5000,0,0.0,0
9,main_hi,primary,,1.0,1.0,0.33,1.0,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,2605238670,0.8420887018705123,0.8472549645713681,0.8417074269306606,-0.17176360207079583,-15.791129812948768,0.04063699392606293,0.040648802733940136,0.17650430589259433,0.0112,0.0132,0.15931554698240968,0.9498,1.0002686775033625,0.0005746938794431128,0.001488258042141886,0.003088040155179334,5000,0,0.0,0
10,main_hi,primary,,1.0,1.0,0.33,1.0,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,956976107,0.8425307965980497,0.8475718349737346,0.8419991510600932,-0.17181525117682478,-15.746920340195025,0.0130600493818364,0.012846710440663605,0.17231079859902404,0.0,0.0,0.050358102513239536,1.0,1.000450971615877,0.0001846969896105539,0.0,0.0,5000,0,0.0,0
