scenario_id,family,anchor,se,sp,uhr,eff,n,eta_c0,eta_o0,planned_reps,master_seed,scenario_seed,median_HR_c,median_HR_naive,median_HR_o,bias_logHR_c,median_HR_percent_error_c,empirical_SE,avg_robust_SE,avg_model_SE,rmse_c,coverage_c,coverage_naive,median_interval_width_log,directional_signal_rate,median_cross_ratio,mcse_bias,mcse_coverage,mcse_signal,successful,failed,failure_rate,convergence_warnings,max_abs_score_residual_sum,computational_time_s,cache_status
1,main_hi,,1.0,1.0,1.0,1.0,5000,-0.8,-0.5,5000,20260817,1269503018,0.9994560202656726,0.9997411817265192,1.0008532046444434,-5.408446005615128e-05,-0.0543979734327404,0.039503215154732,0.0397833998593747,0.0563063317985493,0.0394993016632998,0.9514,0.9536,0.1559346742898821,0.021,0.9982757377843476,0.0005586598262916,0.0030409879973455,0.002027757381937,5000,0,0.0,0,3.620570510065591e-11,0.0,reused complete strict rerun
2,main_hi,,1.0,1.0,1.0,1.0,50000,-0.8,-0.5,5000,20260817,3405241100,1.000450083766688,1.0003194726933926,0.9999475021178444,0.0001468752126347,0.0450083766688091,0.012370857278436,0.0125778367659479,0.0177899129669032,0.0123704920884159,0.9526,0.9522,0.0493035939154317,0.0276,1.0003168585636102,0.0001749503414134,0.0030051036587778,0.0023168185082133,5000,0,0.0,0,3.1151934365425404e-09,0.0,reused complete strict rerun
3,main_hi,,1.0,1.0,1.0,0.85,5000,-0.8,-0.5,5000,20260817,1705465395,0.8498846030881858,0.8499860723483408,1.0007524773845704,-0.0001933752855909,-0.0135761072722552,0.0403694079796952,0.0407283681237162,0.0575069424652769,0.0403658340284457,0.9526,0.9506,0.1596302128635059,0.0224,0.849565397956035,0.0005709096426985,0.0030051036587778,0.002092760855903,5000,0,0.0,0,3.381472879482317e-11,0.0,reused complete strict rerun
4,main_hi,,1.0,1.0,1.0,0.85,50000,-0.8,-0.5,5000,20260817,1479637334,0.8499989417697341,0.8501238440814567,1.000040047572843,4.049435193886717e-05,-0.0001244976783364,0.0129379471896078,0.0128728625437827,0.0181660602738332,0.0129367167078098,0.9486,0.9496,0.0504621775261908,0.0274,0.8498490241457678,0.0001829702038481,0.003122756474655,0.0023086463566341,5000,0,0.0,0,3.2691289675312873e-09,0.0,reused complete strict rerun
5,main_hi,,1.0,1.0,0.5,1.0,5000,-0.8,-0.5,5000,20260817,2852892794,0.8901681220840405,0.8943695847437441,0.8901452569905344,-0.1158800785941036,-10.983187791595949,0.041032756420942,0.0402488301581044,0.0569262743073868,0.1229290160094682,0.1824,0.1958,0.1577456680038904,0.7066,1.000942825646188,0.0005802908063204,0.0054613229166567,0.0064391993291091,5000,0,0.0,0,3.707789630880143e-11,0.0,reused complete strict rerun
6,main_hi,,1.0,1.0,0.5,1.0,50000,-0.8,-0.5,5000,20260817,128509959,0.8905841130470635,0.8940972240517189,0.8901193312378111,-0.1157239555112684,-10.941588695293646,0.0127343545586208,0.0127226075086221,0.0179835193204995,0.1164223570988042,0.0,0.0,0.0498706101015103,1.0,1.0004572443972617,0.0001800909692486,0.0,0.0,5000,0,0.0,0,3.342449872434372e-09,0.0,reused complete strict rerun
7,main_hi,,1.0,1.0,0.5,0.85,5000,-0.8,-0.5,5000,20260817,4190124856,0.7626768950689065,0.7655325824679811,0.8969550059293496,-0.1084125236392097,-10.27330646248159,0.0410391281429524,0.0412850837528553,0.0582485363385661,0.1159187149624603,0.2452,0.2682,0.1618105122742603,0.6624,0.8513150572783265,0.0005803809160773,0.0060840276133495,0.0066876937728936,5000,0,0.0,0,3.11857206725108e-11,0.0,reused complete strict rerun
8,main_hi,,1.0,1.0,0.5,0.85,50000,-0.8,-0.5,5000,20260817,1363535968,0.7630906655143962,0.7661340702020769,0.8972039273145366,-0.1079829780325734,-10.224627586541622,0.0127783689627227,0.0130513874012193,0.0184030807653281,0.1087362754594254,0.0,0.0,0.0511603529366815,1.0,0.8503375806477018,0.0001807134269208,0.0,0.0,5000,0,0.0,0,3.2411264783149822e-09,0.0,reused complete strict rerun
9,main_hi,,1.0,1.0,0.33,1.0,5000,-0.8,-0.5,5000,20260817,2605238670,0.8420887018705114,0.8472549645713873,0.8417074269306601,-0.1717636020707958,-15.791129812948856,0.0406369939260629,0.0406865742857354,0.0574877956778794,0.1765043058925943,0.0112,0.0136,0.1594769582491442,0.9494,1.0002686775033611,0.0005746938794431,0.0014882580421418,0.0030996657884359,5000,0,0.0,0,3.326583453144849e-11,0.0,reused complete strict rerun
10,main_hi,,1.0,1.0,0.33,1.0,50000,-0.8,-0.5,5000,20260817,956976107,0.8425307965980458,0.8475718349736457,0.8419991510600835,-0.1718152511768248,-15.746920340195423,0.0130600493818364,0.0128629934056428,0.018164696719409,0.1723107985990241,0.0,0.0,0.0504237315954373,1.0,1.0004509716158745,0.0001846969896105,0.0,0.0,5000,0,0.0,0,3.272020876465831e-09,0.0,reused complete strict rerun
