family,n,uhr,mean,min,max
low_bladder,50000,0.33,0.991,0.9695,1.0
low_bladder,50000,0.5,0.9039166666666666,0.7645,0.994
low_bladder,50000,1.0,0.025416666666666667,0.0195,0.031
low_crc,50000,0.33,0.91775,0.7895,0.998
low_crc,50000,0.5,0.7314166666666666,0.5055,0.9295
low_crc,50000,1.0,0.02716666666666667,0.025,0.0305
main_hi,5000,0.33,0.7623666666666667,0.5286,0.9494
main_hi,5000,0.5,0.48869999999999997,0.2906,0.7066
main_hi,5000,1.0,0.0234,0.021,0.0256
main_hi,50000,0.33,1.0,1.0,1.0
main_hi,50000,0.5,0.9983666666666666,0.9934,1.0
main_hi,50000,1.0,0.025466666666666665,0.0224,0.028
