scenario_id,replica_source,se,sp,uhr,true_hr,prior,prior_interpretation,prior_mu_B,prior_sd_B,bias_loghr,rmse_loghr,coverage,width_ratio,mcse_coverage,n_eval,unadjusted_bias_loghr,unadjusted_coverage
301,3,1.0,1.0,1.0,0.85,oracle_cell_specific,DGM-informed benchmark,1.169218595514221e-06,0.0027703074439863,-0.0001945445041864,0.0403658396466004,0.953,1.0023108050265006,0.0029930252254199,5000,-0.0001933752855909,0.9526
301,3,1.0,1.0,1.0,0.85,global_mechanism_prior,single prior induced by specified Se/Sp/uhr distributions,-0.0596986112230765,0.0273352044182359,0.0595052359374856,0.0719043549917999,0.819,1.204357843662358,0.0054449793388037,5000,-0.0001933752855909,0.9526
301,3,1.0,1.0,1.0,0.85,oracle_mean_x1.25,relative mean misspecification; weak when oracle mean is near zero,1.4615232443927763e-06,0.0027703074439863,-0.0001948368088353,0.0403658410564307,0.953,1.0023108050265006,0.0029930252254199,5000,-0.0001933752855909,0.9526
301,3,1.0,1.0,1.0,0.85,oracle_mean_x1.50,relative mean misspecification; weak when oracle mean is near zero,1.7538278932713314e-06,0.0027703074439863,-0.0001951291134841,0.0403658424683776,0.953,1.0023108050265006,0.0029930252254199,5000,-0.0001933752855909,0.9526
302,7,1.0,1.0,0.5,0.85,oracle_cell_specific,DGM-informed benchmark,-0.1081291803770364,0.0037221930200524,-0.0002833432621732,0.0410360022435195,0.9548,1.0040563589636085,0.002937923075916,5000,-0.1084125236392097,0.2452
302,7,1.0,1.0,0.5,0.85,global_mechanism_prior,single prior induced by specified Se/Sp/uhr distributions,-0.0596986112230765,0.0273352044182359,-0.0487139124161331,0.0636939436650975,0.8784,1.1993382864938034,0.0046219787970089,5000,-0.1084125236392097,0.2452
302,7,1.0,1.0,0.5,0.85,oracle_mean_x1.25,relative mean misspecification; weak when oracle mean is near zero,-0.1351614754712956,0.0037221930200524,0.0267489518320858,0.0489834627281613,0.902,1.0040563589636085,0.0042046640769507,5000,-0.1084125236392097,0.2452
302,7,1.0,1.0,0.5,0.85,oracle_mean_x1.50,relative mean misspecification; weak when oracle mean is near zero,-0.1621937705655547,0.0037221930200524,0.0537812469263449,0.067648323834951,0.7484,1.0040563589636085,0.0061367326811585,5000,-0.1084125236392097,0.2452
303,11,1.0,1.0,0.33,0.85,oracle_cell_specific,DGM-informed benchmark,-0.1563408989087401,0.0028063961087198,0.0005961079369521,0.0417246464655903,0.9474,1.002256256745715,0.0031569998416217,5000,-0.1557447909717879,0.0416
303,11,1.0,1.0,0.33,0.85,global_mechanism_prior,single prior induced by specified Se/Sp/uhr distributions,-0.0596986112230765,0.0273352044182359,-0.0960461797487113,0.1047160896057896,0.5116,1.19523720516484,0.0070691645899639,5000,-0.1557447909717879,0.0416
303,11,1.0,1.0,0.33,0.85,oracle_mean_x1.25,relative mean misspecification; weak when oracle mean is near zero,-0.1954261236359251,0.0028063961087198,0.0396813326641372,0.0575777642845563,0.8422,1.002256256745715,0.0051555632088065,5000,-0.1557447909717879,0.0416
303,11,1.0,1.0,0.33,0.85,oracle_mean_x1.50,relative mean misspecification; weak when oracle mean is near zero,-0.2345113483631101,0.0028063961087198,0.0787665573913222,0.0891333907202372,0.5388,1.002256256745715,0.0070497455273222,5000,-0.1557447909717879,0.0416
304,15,0.9,0.9,1.0,0.85,oracle_cell_specific,DGM-informed benchmark,0.0347022423011115,0.0030358160531876,0.0002929697948841,0.0398513090443392,0.9562,1.0028400550881778,0.0028941858958954,5000,0.0349952120959956,0.8574
304,15,0.9,0.9,1.0,0.85,global_mechanism_prior,single prior induced by specified Se/Sp/uhr distributions,-0.0596986112230765,0.0273352044182359,0.0946938233190722,0.1027373407093565,0.508,1.2087872087855245,0.0070701626572519,5000,0.0349952120959956,0.8574
304,15,0.9,0.9,1.0,0.85,oracle_mean_x1.25,relative mean misspecification; weak when oracle mean is near zero,0.0433778028763893,0.0030358160531876,-0.0083825907803937,0.040722338211825,0.9502,1.0028400550881778,0.0030763601869742,5000,0.0349952120959956,0.8574
304,15,0.9,0.9,1.0,0.85,oracle_mean_x1.50,relative mean misspecification; weak when oracle mean is near zero,0.0520533634516672,0.0030358160531876,-0.0170581513556715,0.0433476819324831,0.9352,1.0028400550881778,0.0034814066122761,5000,0.0349952120959956,0.8574
305,19,0.9,0.9,0.5,0.85,oracle_cell_specific,DGM-informed benchmark,-0.0497011573413146,0.0027843891704576,-0.0002564797203895,0.0406381476558984,0.9516,1.0023317125611462,0.0030350433275325,5000,-0.0499576370617041,0.7682
305,19,0.9,0.9,0.5,0.85,global_mechanism_prior,single prior induced by specified Se/Sp/uhr distributions,-0.0596986112230765,0.0273352044182359,0.0097409741613724,0.041788513262237,0.98,1.2041482284091578,0.0019798989873223,5000,-0.0499576370617041,0.7682
305,19,0.9,0.9,0.5,0.85,oracle_mean_x1.25,relative mean misspecification; weak when oracle mean is near zero,-0.0621264466766432,0.0027843891704576,0.0121688096149391,0.0424201979073679,0.9384,1.0023317125611462,0.0034001599962354,5000,-0.0499576370617041,0.7682
305,19,0.9,0.9,0.5,0.85,oracle_mean_x1.50,relative mean misspecification; weak when oracle mean is near zero,-0.0745517360119719,0.0027843891704576,0.0245940989502677,0.047500136486448,0.9046,1.0023317125611462,0.0041544876940484,5000,-0.0499576370617041,0.7682
306,23,0.9,0.9,0.33,0.85,oracle_cell_specific,DGM-informed benchmark,-0.0871494440625363,0.0031400911571559,-0.0008742084688518,0.0407222163685293,0.9542,1.0029031798159442,0.0029564289269319,5000,-0.0880236525313881,0.4292
306,23,0.9,0.9,0.33,0.85,global_mechanism_prior,single prior induced by specified Se/Sp/uhr distributions,-0.0596986112230765,0.0273352044182359,-0.0283250413083115,0.0495968006088685,0.9528,1.2002668839301012,0.0029990718564249,5000,-0.0880236525313881,0.4292
306,23,0.9,0.9,0.33,0.85,oracle_mean_x1.25,relative mean misspecification; weak when oracle mean is near zero,-0.1089368050781704,0.0031400911571559,0.0209131525467822,0.0457700187345744,0.923,1.0029031798159442,0.0037701724098507,5000,-0.0880236525313881,0.4292
306,23,0.9,0.9,0.33,0.85,oracle_mean_x1.50,relative mean misspecification; weak when oracle mean is near zero,-0.1307241660938045,0.0031400911571559,0.0427005135624163,0.0589988857861943,0.8276,1.0029031798159442,0.005341876823739,5000,-0.0880236525313881,0.4292
