scenario_id,module,family,anchor,se,sp,uhr,eff,n,eta_c0,eta_o0,repetitions,bootstrap_B,tag,cut_years,m1,m2,estimator_or_operation,final_evidence_status,source_artifact
1,primary Cox,main_hi,,1.0,1.0,1.0,1.0,5000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
2,primary Cox,main_hi,,1.0,1.0,1.0,1.0,50000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
3,primary Cox,main_hi,,1.0,1.0,1.0,0.85,5000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
4,primary Cox,main_hi,,1.0,1.0,1.0,0.85,50000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
5,primary Cox,main_hi,,1.0,1.0,0.5,1.0,5000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
6,primary Cox,main_hi,,1.0,1.0,0.5,1.0,50000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
7,primary Cox,main_hi,,1.0,1.0,0.5,0.85,5000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
8,primary Cox,main_hi,,1.0,1.0,0.5,0.85,50000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
9,primary Cox,main_hi,,1.0,1.0,0.33,1.0,5000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
10,primary Cox,main_hi,,1.0,1.0,0.33,1.0,50000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
11,primary Cox,main_hi,,1.0,1.0,0.33,0.85,5000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
12,primary Cox,main_hi,,1.0,1.0,0.33,0.85,50000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
13,primary Cox,main_hi,,0.9,0.9,1.0,1.0,5000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
14,primary Cox,main_hi,,0.9,0.9,1.0,1.0,50000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
15,primary Cox,main_hi,,0.9,0.9,1.0,0.85,5000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
16,primary Cox,main_hi,,0.9,0.9,1.0,0.85,50000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
17,primary Cox,main_hi,,0.9,0.9,0.5,1.0,5000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
18,primary Cox,main_hi,,0.9,0.9,0.5,1.0,50000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
19,primary Cox,main_hi,,0.9,0.9,0.5,0.85,5000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
20,primary Cox,main_hi,,0.9,0.9,0.5,0.85,50000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
21,primary Cox,main_hi,,0.9,0.9,0.33,1.0,5000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
22,primary Cox,main_hi,,0.9,0.9,0.33,1.0,50000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
23,primary Cox,main_hi,,0.9,0.9,0.33,0.85,5000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
24,primary Cox,main_hi,,0.9,0.9,0.33,0.85,50000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
25,primary Cox,main_hi,,0.75,0.85,1.0,1.0,5000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
26,primary Cox,main_hi,,0.75,0.85,1.0,1.0,50000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
27,primary Cox,main_hi,,0.75,0.85,1.0,0.85,5000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
28,primary Cox,main_hi,,0.75,0.85,1.0,0.85,50000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
29,primary Cox,main_hi,,0.75,0.85,0.5,1.0,5000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
