scenario_id,family,module,anchor,se,sp,uhr,eff,n,eta_c0,eta_o0,estimand,method,planned_reps,master_seed,scenario_seed,median_HR_c,median_HR_naive,median_HR_o,bias_logHR_c,median_HR_percent_error_c,empirical_SE,avg_model_SE,rmse_c,coverage_c,coverage_naive,median_interval_width_log,directional_signal_rate,median_cross_ratio,mcse_bias,mcse_coverage,mcse_signal,successful,failed,failure_rate,convergence_warnings
1,main_hi,primary,,1.0,1.0,1.0,1.0,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,1269503018,0.999456020265673,0.9997411817265136,1.0008532046444425,-5.408446005616709e-05,-0.054397973432696,0.0395032151547321,0.0398028195355826,0.0394993016632998,0.9512,0.9536,0.1559813499826967,0.0208,0.9982757377843472,0.0005586598262916,0.00304691844328,0.0020182844199963,5000,0,0.0,0
2,main_hi,primary,,1.0,1.0,1.0,1.0,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,3405241100,1.0004500837666788,1.0003194726932487,0.9999475021178444,0.0001468752126347,0.0450083766678766,0.0123708572784361,0.0125789830985552,0.0123704920884159,0.9528,0.9522,0.0493073966457598,0.0276,1.000316858563595,0.0001749503414134,0.0029990718564249,0.0023168185082133,5000,0,0.0,0
3,main_hi,primary,,1.0,1.0,1.0,0.85,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,1705465395,0.8498846030881859,0.8499860723483408,1.0007524773845706,-0.0001933752855909,-0.0135761072722421,0.0403694079796952,0.0407458670073305,0.0403658340284457,0.9528,0.9508,0.1596936655159583,0.0224,0.8495653979560349,0.0005709096426985,0.0029990718564249,0.002092760855903,5000,0,0.0,0
4,main_hi,primary,,1.0,1.0,1.0,0.85,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,1479637334,0.8499989417697298,0.8501238440814567,1.000040047572843,4.049435193855475e-05,-0.0001244976788458,0.0129379471896079,0.0128739593573135,0.0129367167078098,0.9486,0.9498,0.050464833496884,0.0274,0.849849024145769,0.0001829702038481,0.003122756474655,0.0023086463566341,5000,0,0.0,0
5,main_hi,primary,,1.0,1.0,0.5,1.0,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,2852892794,0.8901681220840421,0.8943695847437452,0.8901452569905337,-0.1158800785941036,-10.983187791595794,0.041032756420942,0.0402572683689564,0.1229290160094682,0.1818,0.1956,0.1577760402952131,0.7056,1.0009428256461863,0.0005802908063204,0.0054543333231477,0.0064455975673322,5000,0,0.0,0
6,main_hi,primary,,1.0,1.0,0.5,1.0,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,128509959,0.8905841130470648,0.8940972240520919,0.8901193312378105,-0.1157239555112684,-10.941588695293524,0.0127343545586207,0.0127193858551441,0.1164223570988042,0.0,0.0,0.0498600847506365,1.0,1.0004572443972637,0.0001800909692486,0.0,0.0,5000,0,0.0,0
7,main_hi,primary,,1.0,1.0,0.5,0.85,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,4190124856,0.7626768950689076,0.7655325824679811,0.8969550059293491,-0.1084125236392097,-10.27330646248146,0.0410391281429523,0.0412745956624142,0.1159187149624603,0.2454,0.2678,0.1617651975470245,0.6618,0.8513150572783311,0.0005803809160773,0.0060857019315769,0.0066906017666574,5000,0,0.0,0
8,main_hi,primary,,1.0,1.0,0.5,0.85,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,1363535968,0.7630906655144019,0.7661340702020769,0.8972039273145338,-0.1079829780325734,-10.224627586540956,0.0127783689627226,0.0130423909121767,0.1087362754594254,0.0,0.0,0.051124121451847,1.0,0.8503375806477091,0.0001807134269208,0.0,0.0,5000,0,0.0,0
9,main_hi,primary,,1.0,1.0,0.33,1.0,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,2605238670,0.8420887018705123,0.8472549645713681,0.8417074269306606,-0.1717636020707958,-15.791129812948768,0.0406369939260629,0.0406488027339401,0.1765043058925943,0.0112,0.0132,0.1593155469824096,0.9498,1.0002686775033625,0.0005746938794431,0.0014882580421418,0.0030880401551793,5000,0,0.0,0
10,main_hi,primary,,1.0,1.0,0.33,1.0,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,956976107,0.8425307965980497,0.8475718349737346,0.8419991510600932,-0.1718152511768247,-15.746920340195024,0.0130600493818364,0.0128467104406636,0.172310798599024,0.0,0.0,0.0503581025132395,1.0,1.000450971615877,0.0001846969896105,0.0,0.0,5000,0,0.0,0
11,main_hi,primary,,1.0,1.0,0.33,0.85,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,1710890882,0.7269665093969674,0.7314169054187332,0.8552607911190115,-0.1557447909717878,-14.474528306239128,0.041724560702291,0.0416884822550028,0.1612359472724736,0.0414,0.0498,0.1634225810075351,0.927,0.8501861632409016,0.0005900743962923,0.0028173050952994,0.003678885700861,5000,0,0.0,0
