check,passed,observed,expected,note
primary_registry_rows,True,72,72,
primary_planned_datasets,True,252000,252000,
primary_001_successful,True,5000,5000,
primary_001_failed,True,0,0,
primary_001_median_HR_c,True,0.9994560202656726,0.9994560202656726,
primary_001_median_HR_naive,True,0.9997411817265192,0.9997411817265192,
primary_001_median_HR_o,True,1.0008532046444434,1.0008532046444434,
primary_001_bias_logHR_c,True,-5.408446005615128e-05,-5.408446005615128e-05,
primary_001_median_HR_percent_error_c,True,-0.05439797343274044,-0.0543979734327404,
primary_001_empirical_SE,True,0.039503215154732096,0.039503215154732,
primary_001_avg_robust_SE,True,0.03978339985937477,0.0397833998593747,
primary_001_avg_model_SE,True,0.056306331798549346,0.0563063317985493,
primary_001_rmse_c,True,0.03949930166329986,0.0394993016632998,
primary_001_coverage_c,True,0.9514,0.9514,
primary_001_coverage_naive,True,0.9536,0.9536,
primary_001_median_interval_width_log,True,0.15593467428988217,0.1559346742898821,
primary_001_directional_signal_rate,True,0.021,0.021,
primary_001_median_cross_ratio,True,0.9982757377843476,0.9982757377843476,
primary_001_max_abs_score_residual_sum,True,3.620570510065591e-11,3.620570510065591e-11,
primary_002_successful,True,5000,5000,
primary_002_failed,True,0,0,
primary_002_median_HR_c,True,1.000450083766688,1.000450083766688,
primary_002_median_HR_naive,True,1.0003194726933926,1.0003194726933926,
primary_002_median_HR_o,True,0.9999475021178443,0.9999475021178444,
primary_002_bias_logHR_c,True,0.00014687521263477365,0.0001468752126347,
primary_002_median_HR_percent_error_c,True,0.04500837666880919,0.0450083766688091,
primary_002_empirical_SE,True,0.012370857278436072,0.012370857278436,
primary_002_avg_robust_SE,True,0.012577836765947956,0.0125778367659479,
primary_002_avg_model_SE,True,0.017789912966903233,0.0177899129669032,
primary_002_rmse_c,True,0.012370492088415907,0.0123704920884159,
primary_002_coverage_c,True,0.9526,0.9526,
primary_002_coverage_naive,True,0.9522,0.9522,
primary_002_median_interval_width_log,True,0.049303593915431716,0.0493035939154317,
primary_002_directional_signal_rate,True,0.0276,0.0276,
primary_002_median_cross_ratio,True,1.0003168585636102,1.0003168585636102,
primary_002_max_abs_score_residual_sum,True,3.11519343654254e-09,3.1151934365425404e-09,
primary_003_successful,True,5000,5000,
primary_003_failed,True,0,0,
primary_003_median_HR_c,True,0.8498846030881858,0.8498846030881858,
primary_003_median_HR_naive,True,0.8499860723483408,0.8499860723483408,
primary_003_median_HR_o,True,1.0007524773845704,1.0007524773845704,
primary_003_bias_logHR_c,True,-0.0001933752855909202,-0.0001933752855909,
primary_003_median_HR_percent_error_c,True,-0.013576107272255241,-0.0135761072722552,
primary_003_empirical_SE,True,0.0403694079796952,0.0403694079796952,
primary_003_avg_robust_SE,True,0.040728368123716205,0.0407283681237162,
primary_003_avg_model_SE,True,0.05750694246527696,0.0575069424652769,
primary_003_rmse_c,True,0.04036583402844576,0.0403658340284457,
primary_003_coverage_c,True,0.9526,0.9526,
primary_003_coverage_naive,True,0.9506,0.9506,
primary_003_median_interval_width_log,True,0.15963021286350598,0.1596302128635059,
primary_003_directional_signal_rate,True,0.0224,0.0224,
primary_003_median_cross_ratio,True,0.849565397956035,0.849565397956035,
primary_003_max_abs_score_residual_sum,True,3.381472879482317e-11,3.381472879482317e-11,
primary_004_successful,True,5000,5000,
primary_004_failed,True,0,0,
primary_004_median_HR_c,True,0.8499989417697341,0.8499989417697341,
primary_004_median_HR_naive,True,0.8501238440814567,0.8501238440814567,
primary_004_median_HR_o,True,1.000040047572843,1.000040047572843,
primary_004_bias_logHR_c,True,4.049435193886717e-05,4.049435193886717e-05,
primary_004_median_HR_percent_error_c,True,-0.0001244976783364895,-0.0001244976783364,
primary_004_empirical_SE,True,0.012937947189607894,0.0129379471896078,
primary_004_avg_robust_SE,True,0.012872862543782719,0.0128728625437827,
primary_004_avg_model_SE,True,0.018166060273833235,0.0181660602738332,
primary_004_rmse_c,True,0.012936716707809812,0.0129367167078098,
primary_004_coverage_c,True,0.9486,0.9486,
primary_004_coverage_naive,True,0.9496,0.9496,
primary_004_median_interval_width_log,True,0.05046217752619083,0.0504621775261908,
primary_004_directional_signal_rate,True,0.0274,0.0274,
primary_004_median_cross_ratio,True,0.8498490241457678,0.8498490241457678,
primary_004_max_abs_score_residual_sum,True,3.2691289675312873e-09,3.2691289675312873e-09,
primary_005_successful,True,5000,5000,
primary_005_failed,True,0,0,
primary_005_median_HR_c,True,0.8901681220840405,0.8901681220840405,
primary_005_median_HR_naive,True,0.8943695847437441,0.8943695847437441,
primary_005_median_HR_o,True,0.8901452569905344,0.8901452569905344,
primary_005_bias_logHR_c,True,-0.11588007859410368,-0.1158800785941036,
primary_005_median_HR_percent_error_c,True,-10.983187791595949,-10.983187791595949,
primary_005_empirical_SE,True,0.041032756420942,0.041032756420942,
primary_005_avg_robust_SE,True,0.04024883015810449,0.0402488301581044,
primary_005_avg_model_SE,True,0.05692627430738686,0.0569262743073868,
primary_005_rmse_c,True,0.12292901600946826,0.1229290160094682,
primary_005_coverage_c,True,0.1824,0.1824,
primary_005_coverage_naive,True,0.1958,0.1958,
primary_005_median_interval_width_log,True,0.15774566800389042,0.1577456680038904,
primary_005_directional_signal_rate,True,0.7066,0.7066,
primary_005_median_cross_ratio,True,1.000942825646188,1.000942825646188,
primary_005_max_abs_score_residual_sum,True,3.707789630880143e-11,3.707789630880143e-11,
primary_006_successful,True,5000,5000,
primary_006_failed,True,0,0,
primary_006_median_HR_c,True,0.8905841130470635,0.8905841130470635,
primary_006_median_HR_naive,True,0.8940972240517189,0.8940972240517189,
primary_006_median_HR_o,True,0.8901193312378111,0.8901193312378111,
primary_006_bias_logHR_c,True,-0.11572395551126842,-0.1157239555112684,
primary_006_median_HR_percent_error_c,True,-10.941588695293646,-10.941588695293646,
primary_006_empirical_SE,True,0.012734354558620828,0.0127343545586208,
primary_006_avg_robust_SE,True,0.012722607508622124,0.0127226075086221,
primary_006_avg_model_SE,True,0.017983519320499592,0.0179835193204995,
primary_006_rmse_c,True,0.11642235709880425,0.1164223570988042,
primary_006_coverage_c,True,0.0,0.0,
primary_006_coverage_naive,True,0.0,0.0,
primary_006_median_interval_width_log,True,0.04987061010151035,0.0498706101015103,
primary_006_directional_signal_rate,True,1.0,1.0,
primary_006_median_cross_ratio,True,1.0004572443972615,1.0004572443972617,
primary_006_max_abs_score_residual_sum,True,3.342449872434372e-09,3.342449872434372e-09,
primary_007_successful,True,5000,5000,
primary_007_failed,True,0,0,
primary_007_median_HR_c,True,0.7626768950689065,0.7626768950689065,
primary_007_median_HR_naive,True,0.7655325824679811,0.7655325824679811,
primary_007_median_HR_o,True,0.8969550059293496,0.8969550059293496,
primary_007_bias_logHR_c,True,-0.10841252363920974,-0.1084125236392097,
primary_007_median_HR_percent_error_c,True,-10.27330646248159,-10.27330646248159,
primary_007_empirical_SE,True,0.04103912814295242,0.0410391281429524,
primary_007_avg_robust_SE,True,0.04128508375285535,0.0412850837528553,
primary_007_avg_model_SE,True,0.0582485363385661,0.0582485363385661,
primary_007_rmse_c,True,0.11591871496246035,0.1159187149624603,
primary_007_coverage_c,True,0.2452,0.2452,
primary_007_coverage_naive,True,0.2682,0.2682,
primary_007_median_interval_width_log,True,0.1618105122742603,0.1618105122742603,
primary_007_directional_signal_rate,True,0.6624,0.6624,
primary_007_median_cross_ratio,True,0.8513150572783265,0.8513150572783265,
primary_007_max_abs_score_residual_sum,True,3.11857206725108e-11,3.11857206725108e-11,
primary_008_successful,True,5000,5000,
primary_008_failed,True,0,0,
